field,group,model,mode,n,n_group,n_bonafide,n_spoof,eer,far,frr,fp,fn
attack,A13,LFCC+LCNN,spoof_group_vs_all_bonafide,12269,4914,7355,4914,53.116939711093345,0.7773707773707774,0.1964649898028552,3820,1445
attack,A12,LFCC+LCNN,spoof_group_vs_all_bonafide,12269,4914,7355,4914,43.51145757332025,0.6271876271876272,0.1964649898028552,3082,1445
attack,A18,AASIST3,spoof_group_vs_all_bonafide,12269,4914,7355,4914,36.05187193902354,0.5834350834350834,0.20829367777022434,2867,1532
attack,A17,AASIST3,spoof_group_vs_all_bonafide,12269,4914,7355,4914,32.73123281280997,0.4943019943019943,0.20829367777022434,2429,1532
attack,A10,AASIST3,spoof_group_vs_all_bonafide,12269,4914,7355,4914,32.35773592673661,0.48656898656898656,0.20829367777022434,2391,1532
attack,A12,AASIST3,spoof_group_vs_all_bonafide,12269,4914,7355,4914,31.413818701378183,0.4902319902319902,0.20829367777022434,2409,1532
attack,A10,LFCC+LCNN,spoof_group_vs_all_bonafide,12269,4914,7355,4914,24.993190836154806,0.28734228734228734,0.1964649898028552,1412,1445
attack,A15,LFCC+LCNN,spoof_group_vs_all_bonafide,12269,4914,7355,4914,22.952598425066135,0.2606837606837607,0.1964649898028552,1281,1445
attack,A17,LFCC+LCNN,spoof_group_vs_all_bonafide,12269,4914,7355,4914,21.706497923357198,0.2395197395197395,0.1964649898028552,1177,1445
attack,A18,LFCC+LCNN,spoof_group_vs_all_bonafide,12269,4914,7355,4914,21.125902573897136,0.22832722832722832,0.1964649898028552,1122,1445
attack,A13,AASIST3,spoof_group_vs_all_bonafide,12269,4914,7355,4914,19.19394689958932,0.17195767195767195,0.20829367777022434,845,1532
attack,A10,AASIST-L,spoof_group_vs_all_bonafide,12269,4914,7355,4914,17.82561346803359,0.3658933658933659,0.06743711760707002,1798,496
attack,A15,AASIST3,spoof_group_vs_all_bonafide,12269,4914,7355,4914,17.604918811580944,0.14143264143264142,0.20829367777022434,695,1532
attack,A19,AASIST3,spoof_group_vs_all_bonafide,12269,4914,7355,4914,16.38938760964594,0.11864061864061864,0.20829367777022434,583,1532
attack,A11,AASIST3,spoof_group_vs_all_bonafide,12269,4914,7355,4914,15.119515904696051,0.09015059015059015,0.20829367777022434,443,1532
attack,A14,LFCC+LCNN,spoof_group_vs_all_bonafide,12269,4914,7355,4914,15.04824656422209,0.13146113146113145,0.1964649898028552,646,1445
attack,A08,AASIST3,spoof_group_vs_all_bonafide,12269,4914,7355,4914,13.880213499520094,0.08078958078958079,0.20829367777022434,397,1532
attack,A12,AASIST-L,spoof_group_vs_all_bonafide,12269,4914,7355,4914,13.228304540337168,0.23036223036223036,0.06743711760707002,1132,496
attack,A16,AASIST3,spoof_group_vs_all_bonafide,12269,4914,7355,4914,11.272577662788402,0.04497354497354497,0.20829367777022434,221,1532
attack,A10,AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,10.871932659832048,0.25274725274725274,0.045955132562882396,1242,338
attack,A07,AASIST-L,spoof_group_vs_all_bonafide,12269,4914,7355,4914,10.389754767728935,0.1699226699226699,0.06743711760707002,835,496
attack,A12,AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,7.269460277617992,0.13003663003663005,0.045955132562882396,639,338
attack,A07,AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,7.1098599514643,0.12617012617012616,0.045955132562882396,620,338
attack,A15,AASIST-L,spoof_group_vs_all_bonafide,12269,4914,7355,4914,5.656660986368667,0.04721204721204721,0.06743711760707002,232,496
attack,A16,AASIST-L,spoof_group_vs_all_bonafide,12269,4914,7355,4914,5.354477710018157,0.04415954415954416,0.06743711760707002,217,496
attack,A07,AASIST3,spoof_group_vs_all_bonafide,12269,4914,7355,4914,5.143958063740524,0.004680504680504681,0.20829367777022434,23,1532
attack,A15,AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,5.110011850324564,0.05514855514855515,0.045955132562882396,271,338
attack,A10,XLS-R+AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,3.7077322053528734,0.12413512413512413,0.01169272603670972,610,86
attack,A14,AASIST3,spoof_group_vs_all_bonafide,12269,4914,7355,4914,3.0558232461699477,0.0006105006105006105,0.20829367777022434,3,1532
attack,A16,AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,2.8860479098412473,0.01689051689051689,0.045955132562882396,83,338
attack,A13,AASIST-L,spoof_group_vs_all_bonafide,12269,4914,7355,4914,2.437860500402987,0.006105006105006105,0.06743711760707002,30,496
attack,A18,AASIST-L,spoof_group_vs_all_bonafide,12269,4914,7355,4914,2.403914286987027,0.007936507936507936,0.06743711760707002,39,496
attack,A18,AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,2.268085164074287,0.010175010175010175,0.045955132562882396,50,338
attack,A17,AASIST-L,spoof_group_vs_all_bonafide,12269,4914,7355,4914,1.9081844710668663,0.0030525030525030525,0.06743711760707002,15,496
attack,A19,LFCC+LCNN,spoof_group_vs_all_bonafide,12269,4914,7355,4914,1.6806917180812502,0.0010175010175010174,0.1964649898028552,5,1445
attack,A11,XLS-R+AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,1.5414856815264675,0.02035002035002035,0.01169272603670972,100,86
attack,A11,AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,1.3886834519057503,0.0010175010175010174,0.045955132562882396,5,338
attack,A16,LFCC+LCNN,spoof_group_vs_all_bonafide,12269,4914,7355,4914,1.320791025073824,0.0,0.1964649898028552,0,1445
attack,A17,AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,1.1170694753291635,0.000407000407000407,0.045955132562882396,2,338
attack,A09,AASIST3,spoof_group_vs_all_bonafide,12269,4914,7355,4914,1.0118096521903466,0.0,0.20829367777022434,0,1532
attack,A11,XLS-R+Nes2Net,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.9948365454823638,0.021367521367521368,0.004486743711760707,105,33
attack,A14,AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.9880384489493965,0.0014245014245014246,0.045955132562882396,7,338
attack,A08,AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.9846615353073536,0.0026455026455026454,0.045955132562882396,13,338
attack,A10,XLS-R+Nes2Net,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.9167248392265401,0.031135531135531136,0.004486743711760707,153,33
attack,A11,AASIST-L,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.8963748188765198,0.0006105006105006105,0.06743711760707002,3,496
attack,A13,AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.8794017121685368,0.000407000407000407,0.045955132562882396,2,338
attack,A19,AASIST-L,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.7028725485557564,0.001221001221001221,0.06743711760707002,6,496
attack,A09,LFCC+LCNN,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.6858551725988865,0.0,0.1964649898028552,0,1445
attack,A12,XLS-R+AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.5975684561680471,0.0034595034595034596,0.01169272603670972,17,86
attack,A08,AASIST-L,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.5534472325770766,0.000407000407000407,0.06743711760707002,2,496
attack,A07,LFCC+LCNN,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.5059048260951705,0.0,0.1964649898028552,0,1445
attack,A19,AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.5059048260951705,0.0002035002035002035,0.045955132562882396,1,338
attack,A19,XLS-R+AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.3089371036345903,0.002035002035002035,0.01169272603670972,10,86
attack,A19,XLS-R+Nes2Net,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.2716139765765869,0.002442002442002442,0.004486743711760707,12,33
attack,A17,XLS-R+AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.2682370629345496,0.0014245014245014246,0.01169272603670972,7,86
attack,A08,LFCC+LCNN,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.26143896640157677,0.0,0.1964649898028552,0,1445
attack,A17,XLS-R+Nes2Net,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.25464086986860396,0.0014245014245014246,0.004486743711760707,7,33
attack,A18,XLS-R+Nes2Net,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.2444658596935938,0.0018315018315018315,0.004486743711760707,9,33
attack,A12,XLS-R+Nes2Net,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.24108894605155642,0.0002035002035002035,0.004486743711760707,1,33
attack,A14,AASIST-L,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.1935465395696504,0.0,0.06743711760707002,0,496
attack,A18,XLS-R+AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.17315224997074308,0.0,0.01169272603670972,0,86
attack,A16,XLS-R+AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.1460041330877499,0.0006105006105006105,0.01169272603670972,3,86
attack,A09,AASIST,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.11543483331382687,0.0,0.045955132562882396,0,338
attack,A11,LFCC+LCNN,spoof_group_vs_all_bonafide,12269,4914,7355,4914,0.1052598231388167,0.0,0.1964649898028552,0,1445
