field,group,model,n,n_bonafide,n_spoof,eer,far,frr,fp,fn
speaker,LA_0019,AASIST3,1784,146,1638,31.62644053055012,0.21428571428571427,0.5068493150684932,351,74
speaker,LA_0012,LFCC+LCNN,1784,146,1638,29.805392476625347,0.1581196581196581,0.5958904109589042,259,87
speaker,LA_0008,LFCC+LCNN,1784,146,1638,29.622242293475164,0.40964590964590963,0.07534246575342465,671,11
speaker,LA_0019,LFCC+LCNN,1784,146,1638,28.94400120427518,0.36813186813186816,0.11643835616438356,603,17
speaker,LA_0027,AASIST3,1784,146,1638,28.143659992975063,0.257020757020757,0.2945205479452055,421,43
speaker,LA_0003,AASIST3,1004,68,936,25.267094017094017,0.08547008547008547,0.7352941176470589,80,50
speaker,LA_0041,LFCC+LCNN,1784,146,1638,25.125445330924784,0.06654456654456654,0.7876712328767124,109,115
speaker,LA_0026,AASIST3,1784,146,1638,24.691404485925034,0.336996336996337,0.15753424657534246,552,23
speaker,LA_0007,AASIST3,1004,68,936,23.516842634489695,0.07585470085470085,0.5735294117647058,71,39
speaker,LA_0030,LFCC+LCNN,1004,68,936,23.46342383107089,0.10042735042735043,0.5882352941176471,94,40
speaker,LA_0004,LFCC+LCNN,1784,146,1638,23.304397277000017,0.3131868131868132,0.0821917808219178,513,12
speaker,LA_0033,AASIST3,1784,146,1638,23.243347215949957,0.18315018315018314,0.3150684931506849,300,46
speaker,LA_0026,LFCC+LCNN,1784,146,1638,23.212822185424926,0.42002442002442003,0.00684931506849315,688,1
speaker,LA_0006,AASIST3,1784,146,1638,22.748256309900146,0.18986568986568986,0.3356164383561644,311,49
speaker,LA_0009,LFCC+LCNN,1784,146,1638,22.687206248850085,0.07264957264957266,0.7397260273972602,119,108
speaker,LA_0039,AASIST3,1784,146,1638,22.656681218325055,0.231990231990232,0.2191780821917808,380,32
speaker,LA_0014,AASIST3,1784,146,1638,22.504056065699903,0.3052503052503053,0.1643835616438356,500,24
speaker,LA_0031,AASIST3,1784,146,1638,22.443006004649842,0.2765567765567766,0.19863013698630136,453,29
speaker,LA_0003,LFCC+LCNN,1004,68,936,22.407616892911008,0.297008547008547,0.04411764705882353,278,3
speaker,LA_0011,AASIST3,1004,68,936,22.2473604826546,0.07799145299145299,0.5882352941176471,73,40
speaker,LA_0012,AASIST3,1784,146,1638,22.07001522070015,0.16056166056166057,0.2808219178082192,263,41
speaker,LA_0014,LFCC+LCNN,1784,146,1638,21.947915098600028,0.24297924297924298,0.14383561643835616,398,21
speaker,LA_0010,LFCC+LCNN,1784,146,1638,21.300199039925065,0.1385836385836386,0.4383561643835616,227,64
speaker,LA_0042,AASIST3,1784,146,1638,21.117048856774883,0.27533577533577536,0.14383561643835616,451,21
speaker,LA_0035,AASIST3,1784,146,1638,20.99494873467476,0.21245421245421245,0.21232876712328766,348,31
speaker,LA_0016,AASIST3,1784,146,1638,20.957733286500414,0.2557997557997558,0.17123287671232876,419,25
speaker,LA_0015,AASIST3,1004,68,936,20.603946706887886,0.050213675213675216,0.6470588235294118,47,44
speaker,LA_0036,AASIST3,1004,68,936,20.55052790346908,0.10790598290598291,0.3235294117647059,101,22
