field,group,model,mode,n,n_group,n_bonafide,n_spoof,eer,far,frr,fp,fn
attack_tag,AC3,AASIST-L,spoof_group_vs_all_bonafide,57438,26104,31334,26104,39.69657871012623,0.3987511492491572,0.3946830918491096,10409,12367
attack_tag,AC2,AASIST-L,spoof_group_vs_all_bonafide,67646,36312,31334,36312,39.527912179815665,0.3959847984137475,0.3946830918491096,14379,12367
attack_tag,AC1,AASIST-L,spoof_group_vs_all_bonafide,78534,47200,31334,47200,39.30531571812933,0.3914406779661017,0.3946830918491096,18476,12367
attack_tag,AC3,AASIST,spoof_group_vs_all_bonafide,57438,26104,31334,26104,37.86858338210122,0.37925222188170393,0.3781196144762877,9900,11848
attack_tag,AC1,AASIST,spoof_group_vs_all_bonafide,78534,47200,31334,47200,37.820725483121706,0.37834745762711863,0.3781196144762877,17858,11848
attack_tag,AC2,AASIST,spoof_group_vs_all_bonafide,67646,36312,31334,36312,37.7450198181015,0.3770103547036792,0.3781196144762877,13690,11848
attack_tag,AC3,LFCC+LCNN,spoof_group_vs_all_bonafide,57438,26104,31334,26104,22.774135498893898,0.2289304321176831,0.22598455352013788,5976,7081
attack_tag,AC2,LFCC+LCNN,spoof_group_vs_all_bonafide,67646,36312,31334,36312,22.672401814150486,0.22744547257105088,0.22598455352013788,8259,7081
attack_tag,AC1,LFCC+LCNN,spoof_group_vs_all_bonafide,78534,47200,31334,47200,22.455174930464878,0.22328389830508474,0.22598455352013788,10539,7081
attack_tag,AC2,AASIST3,spoof_group_vs_all_bonafide,67646,36312,31334,36312,19.1333710847766,0.19219541749283983,0.19030446160719985,6979,5963
attack_tag,AC1,AASIST3,spoof_group_vs_all_bonafide,78534,47200,31334,47200,19.066674203469887,0.19103813559322033,0.19030446160719985,9017,5963
attack_tag,AC3,AASIST3,spoof_group_vs_all_bonafide,57438,26104,31334,26104,18.790656635894376,0.186369904995403,0.19030446160719985,4865,5963
attack_tag,AC3,XLS-R+AASIST,spoof_group_vs_all_bonafide,57438,26104,31334,26104,2.621818258925155,0.027467054857493105,0.02546754324376077,717,798
attack_tag,AC1,XLS-R+AASIST,spoof_group_vs_all_bonafide,78534,47200,31334,47200,2.537657826609531,0.025360169491525423,0.02546754324376077,1197,798
attack_tag,AC2,XLS-R+AASIST,spoof_group_vs_all_bonafide,67646,36312,31334,36312,2.4983399370234585,0.024482264816038775,0.02546754324376077,889,798
attack_tag,AC3,XLS-R+Nes2Net,spoof_group_vs_all_bonafide,57438,26104,31334,26104,1.8206533715093731,0.01934569414649096,0.018031531244016085,505,565
attack_tag,AC2,XLS-R+Nes2Net,spoof_group_vs_all_bonafide,67646,36312,31334,36312,1.8046404681268946,0.017872879488874203,0.018031531244016085,649,565
attack_tag,AC1,XLS-R+Nes2Net,spoof_group_vs_all_bonafide,78534,47200,31334,47200,1.795630903453551,0.0174364406779661,0.018031531244016085,823,565
