field,group,model,mode,n,n_group,n_bonafide,n_spoof,eer,far,frr,fp,fn
codec,C05,LFCC+LCNN,within_group,47541,47541,9693,37848,51.553124812531,0.18365567533291058,0.8510265139791602,6951,8249
codec,C07,LFCC+LCNN,within_group,47348,47348,9610,37738,50.95696579113928,0.3392336636811702,0.67315296566077,12802,6469
codec,C02,LFCC+LCNN,within_group,47426,47426,9654,37772,48.00882344210828,0.22649052207984752,0.744354671638699,8555,7186
codec,C11,LFCC+LCNN,within_group,46610,46610,8991,37619,47.194265633234124,0.3346181450862596,0.6449783116449783,12588,5799
codec,C10,LFCC+LCNN,within_group,47477,47477,9673,37804,46.09784047440282,0.09046661728917575,0.9247389641269513,3420,8945
codec,C08,LFCC+LCNN,within_group,46678,46678,9003,37675,45.683792639790276,0.5165759787657598,0.3902032655781406,19462,3513
codec,C07,AASIST3,within_group,47348,47348,9610,37738,45.40544619237661,0.1699878106947904,0.7899063475546306,6415,7591
codec,C09,LFCC+LCNN,within_group,41599,41599,8994,32605,45.14076057520601,0.15108112252721975,0.8173226595508116,4926,7351
codec,C02,AASIST3,within_group,47426,47426,9654,37772,44.7556880760976,0.22884676479932226,0.7057178371659416,8644,6813
codec,C10,AASIST3,within_group,47477,47477,9673,37804,43.31201717164943,0.3874193207068035,0.4741031737826941,14646,4586
codec,C10,AASIST-L,within_group,47477,47477,9673,37804,43.112085998304764,0.08171093006031108,0.8127778352114132,3089,7862
codec,C04,AASIST3,within_group,47699,47699,9701,37998,42.556115142079726,0.21798515711353228,0.6805483970724667,8283,6602
codec,C09,AASIST3,within_group,41599,41599,8994,32605,42.4606932659395,0.30118080049072227,0.5511452079163887,9820,4957
codec,C07,XLS-R+Nes2Net,within_group,47348,47348,9610,37738,42.31929367435006,0.21233239705336795,0.5470343392299688,8013,5257
codec,C08,AASIST3,within_group,46678,46678,9003,37675,42.29515502500419,0.28960849369608493,0.5593690991891592,10911,5036
codec,C04,LFCC+LCNN,within_group,47699,47699,9701,37998,41.69551599781192,0.5491341649560503,0.28832079167096175,20866,2797
codec,C10,AASIST,within_group,47477,47477,9673,37804,41.548576965338135,0.09689450851761719,0.778455494675902,3663,7530
codec,C01,LFCC+LCNN,within_group,47253,47253,9534,37719,41.385520642518806,0.3424003817704605,0.49863645898888187,12915,4754
codec,C04,XLS-R+Nes2Net,within_group,47699,47699,9701,37998,41.17474818782746,0.18298331491131112,0.5449953613029584,6953,5287
codec,C09,AASIST-L,within_group,41599,41599,8994,32605,40.70976435516298,0.08112252721975158,0.8307760729375139,2645,7472
codec,C11,AASIST3,within_group,46610,46610,8991,37619,40.393887393925795,0.4562853877030224,0.3541319096874652,17165,3184
codec,C04,AASIST-L,within_group,47699,47699,9701,37998,40.10963643782293,0.4146797199852624,0.3875889083599629,15757,3760
