field,group,model,mode,n,n_group,n_bonafide,n_spoof,eer,far,frr,fp,fn
gender,M,LFCC+LCNN,within_group,322496,322496,68452,254044,42.42514170656256,0.4014776967769363,0.4472915327528779,101993,30618
gender,F,LFCC+LCNN,within_group,358278,358278,70236,288042,42.09259703905421,0.4422618923629193,0.39960988666780567,127390,28067
gender,M,AASIST-L,within_group,322496,322496,68452,254044,38.580518678227726,0.37590338681488245,0.3957955939928709,95496,27093
gender,F,AASIST3,within_group,358278,358278,70236,288042,38.5371528613417,0.4763228973552468,0.30601116236687737,137201,21493
gender,M,AASIST3,within_group,322496,322496,68452,254044,38.1014092996568,0.2867495394498591,0.47107462163267694,72847,32246
gender,M,AASIST,within_group,322496,322496,68452,254044,37.090127727261944,0.36200028341547136,0.3784257581955239,91964,25904
gender,F,AASIST-L,within_group,358278,358278,70236,288042,35.9926117869367,0.370320994854917,0.35066062987641666,106668,24629
gender,F,AASIST,within_group,358278,358278,70236,288042,34.49399103567477,0.3535283048999799,0.3371063272395922,101831,23677
gender,M,XLS-R+Nes2Net,within_group,322496,322496,68452,254044,22.4975970377917,0.25807340460707595,0.21635598667679543,65562,14810
gender,F,XLS-R+Nes2Net,within_group,358278,358278,70236,288042,20.79875053768149,0.178557293727998,0.21530269377527195,51432,15122
gender,M,XLS-R+AASIST,within_group,322496,322496,68452,254044,20.712242031244205,0.1876918958920502,0.2157570268217145,47682,14769
gender,F,XLS-R+AASIST,within_group,358278,358278,70236,288042,18.437713554200492,0.2032759111518459,0.17669001651574692,58552,12410
