field,group,model,mode,n,n_group,n_bonafide,n_spoof,eer,far,frr,fp,fn
speaker,E_4408,AASIST-L,within_group,1402,1402,124,1278,67.79115553536272,0.3442879499217527,0.8145161290322581,440,101
speaker,E_4836,AASIST,within_group,874,874,180,694,66.61863592699329,0.14985590778097982,0.9722222222222222,104,175
speaker,E_1854,AASIST-L,within_group,1762,1762,200,1562,66.06658130601792,0.24903969270166454,0.99,389,198
speaker,E_1854,AASIST,within_group,1762,1762,200,1562,62.93405889884763,0.31882202304737517,0.99,498,198
speaker,E_3874,LFCC+LCNN,within_group,1796,1796,200,1596,61.98370927318295,0.4223057644110276,0.81,674,162
speaker,E_0034,AASIST3,within_group,862,862,142,720,61.18935837245697,0.29583333333333334,0.8169014084507042,213,116
speaker,E_0829,AASIST-L,within_group,1762,1762,200,1562,59.487516005121634,0.2797695262483995,0.94,437,188
speaker,E_3979,AASIST3,within_group,1800,1800,200,1600,59.093750000000014,0.213125,0.945,341,189
speaker,E_0219,AASIST-L,within_group,1734,1734,200,1534,58.80247718383311,0.2842242503259452,0.83,436,166
speaker,E_4408,AASIST,within_group,1402,1402,124,1278,58.06199202382756,0.2644757433489828,0.75,338,93
speaker,E_3750,LFCC+LCNN,within_group,1722,1722,200,1522,57.626478318002626,0.2779237844940867,0.855,423,171
speaker,E_1464,LFCC+LCNN,within_group,1732,1732,200,1532,56.481070496083554,0.5274151436031331,0.6,808,120
speaker,E_0219,AASIST,within_group,1734,1734,200,1534,56.444263363754885,0.29986962190352023,0.775,460,155
speaker,E_3750,AASIST-L,within_group,1722,1722,200,1522,56.403745072273324,0.19973718791064388,0.935,304,187
speaker,E_2555,AASIST3,within_group,1754,1754,200,1554,55.20270270270271,0.19369369369369369,0.915,301,183
speaker,E_3151,AASIST,within_group,1794,1794,200,1594,55.040777917189466,0.37452948557089083,0.76,597,152
speaker,E_4760,LFCC+LCNN,within_group,1798,1798,200,1598,54.97183979974969,0.386107634543179,0.745,617,149
speaker,E_2886,LFCC+LCNN,within_group,1754,1754,200,1554,54.945302445302445,0.35714285714285715,0.84,555,168
speaker,E_5149,AASIST-L,within_group,1762,1762,200,1562,54.61875800256082,0.1446862996158771,0.92,226,184
speaker,E_0929,AASIST-L,within_group,1772,1772,200,1572,54.603689567430024,0.4223918575063613,0.705,664,141
speaker,E_2893,AASIST-L,within_group,1762,1762,200,1562,54.58674775928296,0.3002560819462228,0.87,469,174
speaker,E_4783,AASIST,within_group,1764,1764,200,1564,54.58375959079284,0.37084398976982097,0.815,580,163
speaker,E_1400,AASIST3,within_group,1792,1792,200,1592,54.44849246231156,0.1815326633165829,0.78,289,156
speaker,E_3488,AASIST-L,within_group,1772,1772,200,1572,54.00381679389314,0.3199745547073791,0.81,503,162
speaker,E_0214,AASIST-L,within_group,1776,1776,200,1576,53.11802030456854,0.4029187817258883,0.65,635,130
speaker,E_0829,AASIST3,within_group,1762,1762,200,1562,53.100512163892446,0.2234314980793854,0.735,349,147
speaker,E_5398,AASIST3,within_group,1792,1792,200,1592,52.91331658291458,0.2236180904522613,0.835,356,167
speaker,E_0829,LFCC+LCNN,within_group,1762,1762,200,1562,52.62644046094751,0.3079385403329065,0.61,481,122
speaker,E_0540,LFCC+LCNN,within_group,1730,1730,186,1544,52.27345534570171,0.5673575129533679,0.5,876,93
speaker,E_0312,LFCC+LCNN,within_group,1764,1764,200,1564,52.24104859335039,0.36764705882352944,0.6,575,120
speaker,E_3262,AASIST,within_group,1744,1744,200,1544,51.906735751295344,0.1794041450777202,0.99,277,198
speaker,E_0472,AASIST-L,within_group,1772,1772,200,1572,51.6087786259542,0.34033078880407125,0.725,535,145
speaker,E_2174,LFCC+LCNN,within_group,1786,1786,200,1586,51.41204287515764,0.4760403530895334,0.55,755,110
speaker,E_1494,LFCC+LCNN,within_group,1784,1784,200,1584,51.381313131313135,0.37436868686868685,0.655,593,131
speaker,E_0124,AASIST3,within_group,1758,1758,200,1558,51.270218228498074,0.4345314505776637,0.57,677,114
speaker,E_4118,AASIST3,within_group,1754,1754,188,1566,51.23434145811255,0.4904214559386973,0.526595744680851,768,99
speaker,E_2660,AASIST3,within_group,916,916,184,732,51.22653837015918,0.15710382513661203,0.9510869565217391,115,175
speaker,E_3851,LFCC+LCNN,within_group,840,840,144,696,51.19731800766283,0.34051724137931033,0.5902777777777778,237,85
speaker,E_1746,LFCC+LCNN,within_group,1778,1778,200,1578,51.10899873257287,0.38593155893536124,0.55,609,110
speaker,E_3700,AASIST3,within_group,1790,1790,200,1590,51.003144654088054,0.3163522012578616,0.705,503,141
speaker,E_5302,LFCC+LCNN,within_group,1792,1792,200,1592,51.002512562814076,0.40138190954773867,0.58,639,116
speaker,E_0765,AASIST,within_group,1782,1782,200,1582,50.97408343868521,0.24525916561314792,0.81,388,162
speaker,E_3304,LFCC+LCNN,within_group,1792,1792,200,1592,50.971105527638194,0.314070351758794,0.64,500,128
speaker,E_2893,AASIST,within_group,1762,1762,200,1562,50.916133162612034,0.3265044814340589,0.81,510,162
speaker,E_2555,AASIST-L,within_group,1754,1754,200,1554,50.88610038610039,0.38674388674388677,0.61,601,122
speaker,E_4760,AASIST,within_group,1798,1798,200,1598,50.75031289111389,0.3091364205256571,0.805,494,161
speaker,E_0408,LFCC+LCNN,within_group,1760,1760,200,1560,50.53846153846153,0.4423076923076923,0.585,690,117
speaker,E_2847,LFCC+LCNN,within_group,1774,1774,200,1574,50.50412960609911,0.4701397712833545,0.525,740,105
speaker,E_0422,AASIST3,within_group,1786,1786,200,1586,50.47068095838587,0.13682219419924338,0.865,217,173
speaker,E_4510,AASIST3,within_group,1710,1710,200,1510,50.44867549668874,0.28211920529801326,0.66,426,132
speaker,E_5193,LFCC+LCNN,within_group,1782,1782,200,1582,50.408027812895064,0.4051833122629583,0.625,641,125
speaker,E_4168,AASIST3,within_group,886,886,188,698,50.33759068463086,0.3237822349570201,0.5904255319148937,226,111
speaker,E_0403,LFCC+LCNN,within_group,1782,1782,200,1582,50.063211125158034,0.45448798988621997,0.555,719,111
speaker,E_4554,AASIST3,within_group,1780,1780,200,1580,50.03164556962025,0.30443037974683546,0.685,481,137
speaker,E_4922,LFCC+LCNN,within_group,1784,1784,200,1584,49.96843434343434,0.33207070707070707,0.655,526,131
speaker,E_0829,AASIST,within_group,1762,1762,200,1562,49.967989756722154,0.32522407170294493,0.675,508,135
speaker,E_4881,AASIST3,within_group,1068,1068,126,942,49.89384288747346,0.42356687898089174,0.6111111111111112,399,77
speaker,E_1638,AASIST3,within_group,1766,1766,200,1566,49.840357598978294,0.12005108556832694,0.915,188,183
speaker,E_2803,LFCC+LCNN,within_group,1782,1782,200,1582,49.81036662452591,0.27686472819216185,0.635,438,127
speaker,E_3151,LFCC+LCNN,within_group,1794,1794,200,1594,49.78136762860728,0.37892095357590966,0.615,604,123
speaker,E_4793,LFCC+LCNN,within_group,1492,1492,200,1292,49.672600619195045,0.5007739938080495,0.485,647,97
speaker,E_2333,LFCC+LCNN,within_group,1788,1788,200,1588,49.655541561712845,0.3998740554156171,0.55,635,110
speaker,E_0237,LFCC+LCNN,within_group,1786,1786,200,1586,49.62389659520807,0.4527112232030265,0.52,718,104
speaker,E_2281,LFCC+LCNN,within_group,1796,1796,200,1596,49.59335839598997,0.4191729323308271,0.57,669,114
speaker,E_1446,LFCC+LCNN,within_group,1794,1794,200,1594,49.59316185696361,0.36762860727728985,0.58,586,116
speaker,E_3706,AASIST-L,within_group,1782,1782,200,1582,49.59197218710493,0.3407079646017699,0.7,539,140
speaker,E_4836,AASIST-L,within_group,874,874,180,694,49.56772334293949,0.14985590778097982,0.9,104,162
speaker,E_3262,LFCC+LCNN,within_group,1744,1744,200,1544,49.490932642487046,0.5,0.49,772,98
speaker,E_0002,LFCC+LCNN,within_group,1782,1782,200,1582,49.465549936788875,0.3609355246523388,0.585,571,117
speaker,E_2335,AASIST-L,within_group,1146,1146,148,998,49.36156095975735,0.4759519038076152,0.5067567567567568,475,75
speaker,E_4881,LFCC+LCNN,within_group,1068,1068,126,942,49.284703265594985,0.321656050955414,0.6428571428571429,303,81
speaker,E_5258,AASIST3,within_group,1778,1778,200,1578,49.27471482889734,0.26552598225602025,0.71,419,142
speaker,E_2453,AASIST3,within_group,1778,1778,200,1578,49.246514575411915,0.10266159695817491,0.955,162,191
speaker,E_3700,LFCC+LCNN,within_group,1790,1790,200,1590,49.185534591194966,0.35157232704402513,0.58,559,116
speaker,E_2959,AASIST3,within_group,1770,1770,200,1570,49.181528662420384,0.4535031847133758,0.54,712,108
speaker,E_0408,AASIST-L,within_group,1760,1760,200,1560,49.11538461538461,0.18846153846153846,0.785,294,157
speaker,E_0089,LFCC+LCNN,within_group,1788,1788,198,1590,48.99180484086145,0.3779874213836478,0.5656565656565656,601,112
speaker,E_1781,LFCC+LCNN,within_group,1772,1772,200,1572,48.9910941475827,0.2748091603053435,0.655,432,131
speaker,E_0765,AASIST-L,within_group,1782,1782,200,1582,48.93109987357775,0.25916561314791403,0.74,410,148
speaker,E_5336,AASIST3,within_group,910,910,160,750,48.775,0.09333333333333334,0.8875,70,142
speaker,E_0214,AASIST3,within_group,1776,1776,200,1576,48.77030456852792,0.42449238578680204,0.585,669,117
speaker,E_3303,LFCC+LCNN,within_group,1762,1762,200,1562,48.54577464788733,0.3207426376440461,0.65,501,130
speaker,E_2427,AASIST3,within_group,1756,1756,200,1556,48.543059125964014,0.5674807197943444,0.41,883,82
speaker,E_4808,AASIST,within_group,1732,1732,200,1532,48.531984334203656,0.24608355091383813,0.74,377,148
speaker,E_0124,LFCC+LCNN,within_group,1758,1758,200,1558,48.511874197689345,0.3703465982028241,0.64,577,128
speaker,E_4413,LFCC+LCNN,within_group,1764,1764,198,1566,48.50806919772437,0.39208173690932313,0.5757575757575758,614,114
speaker,E_4564,LFCC+LCNN,within_group,1780,1780,200,1580,48.458860759493675,0.37848101265822787,0.555,598,111
