utt_id,label,speaker,attack,attack_tag,codec,condition,AASIST_score,error_type,confidence,AASIST-L_score,AASIST3_score,LFCC+LCNN_score,XLS-R+Nes2Net_score,XLS-R+AASIST_score,failed_model_count,model
E_0009479657,0,E_0801,A26,AC3,C01,spoof,0.9999997615814209,false_positive,0.9999997615814209,,,,,,,
E_0006954548,0,E_0801,A26,AC3,nocodec,spoof,0.9999995231628418,false_positive,0.9999995231628418,,,,,,,
E_0008442378,0,E_2824,A26,AC1,nocodec,spoof,0.9999991655349731,false_positive,0.9999991655349731,,,,,,,
E_0003095818,0,E_2346,A22,AC2,nocodec,spoof,0.9999985694885254,false_positive,0.9999985694885254,,,,,,,
E_0002841318,0,E_4580,A17,AC1,nocodec,spoof,0.9999984502792358,false_positive,0.9999984502792358,,,,,,,
E_0007639486,0,E_4672,A26,AC1,nocodec,spoof,0.9999979734420776,false_positive,0.9999979734420776,,,,,,,
E_0007360877,0,E_2893,A26,AC1,nocodec,spoof,0.9999974966049194,false_positive,0.9999974966049194,,,,,,,
E_0009792150,0,E_0214,A26,AC2,C07,spoof,0.9999974966049194,false_positive,0.9999974966049194,,,,,,,
E_0009523406,0,E_0286,A26,AC2,nocodec,spoof,0.9999972581863403,false_positive,0.9999972581863403,,,,,,,
E_0002067090,0,E_2405,A17,AC2,nocodec,spoof,0.9999971389770508,false_positive,0.9999971389770508,,,,,,,
E_0005679499,0,E_0214,A26,AC2,C05,spoof,0.9999971389770508,false_positive,0.9999971389770508,,,,,,,
E_0009392843,0,E_2066,A28,AC2,nocodec,spoof,0.9999967813491821,false_positive,0.9999967813491821,,,,,,,
E_0008871128,0,E_0214,A26,AC2,C06,spoof,0.9999961853027344,false_positive,0.9999961853027344,,,,,,,
E_0001125613,0,E_2066,A26,AC1,nocodec,spoof,0.9999958276748657,false_positive,0.9999958276748657,,,,,,,
E_0005568262,0,E_0214,A26,AC2,nocodec,spoof,0.9999958276748657,false_positive,0.9999958276748657,,,,,,,
E_0006611195,0,E_0285,A26,AC3,C01,spoof,0.9999957084655762,false_positive,0.9999957084655762,,,,,,,
E_0005334559,0,E_0285,A26,AC3,nocodec,spoof,0.9999954700469971,false_positive,0.9999954700469971,,,,,,,
E_0008737868,0,E_3601,A26,AC3,nocodec,spoof,0.9999954700469971,false_positive,0.9999954700469971,,,,,,,
E_0008984826,0,E_4471,A28,AC1,C05,spoof,0.9999951124191284,false_positive,0.9999951124191284,,,,,,,
E_0006455641,0,E_2281,A26,AC1,C01,spoof,0.9999949932098389,false_positive,0.9999949932098389,,,,,,,
E_0002141663,0,E_4520,A26,AC1,nocodec,spoof,0.9999947547912598,false_positive,0.9999947547912598,,,,,,,
E_0002177832,0,E_3601,A26,AC3,C05,spoof,0.9999945163726807,false_positive,0.9999945163726807,,,,,,,
E_0006926580,0,E_4478,A26,AC3,nocodec,spoof,0.9999942779541016,false_positive,0.9999942779541016,,,,,,,
