field,group,model,n,n_bonafide,n_spoof,eer,far,frr,fp,fn
speaker,Bob Ross,LFCC+LCNN,108,60,48,100.0,0.9583333333333334,1.0,46,60
speaker,Kamala Harris,AASIST,29,25,4,100.0,1.0,0.64,4,16
speaker,William F. Buckley,LFCC+LCNN,26,4,22,100.0,1.0,0.75,22,3
speaker,Winston Churchill,LFCC+LCNN,882,625,257,99.56544747081712,1.0,0.9808,257,613
speaker,Calvin Coolidge,LFCC+LCNN,73,58,15,99.13793103448276,1.0,0.1724137931034483,15,10
speaker,JFK,LFCC+LCNN,669,396,273,98.50982350982352,0.9926739926739927,0.9646464646464646,271,382
speaker,William F. Buckley,AASIST,26,4,22,97.72727272727273,0.7272727272727273,1.0,16,4
speaker,William F. Buckley,AASIST-L,26,4,22,97.72727272727273,0.6818181818181818,1.0,15,4
speaker,Mitch Hedberg,AASIST,31,3,28,96.42857142857143,0.07142857142857142,1.0,2,3
speaker,Orson Welles,AASIST,202,26,176,96.37237762237763,0.9886363636363636,0.8461538461538461,174,22
speaker,Orson Welles,AASIST-L,202,26,176,96.37237762237763,0.9943181818181818,0.8461538461538461,175,22
speaker,George W. Bush,LFCC+LCNN,230,55,175,96.18181818181817,0.9142857142857143,0.9636363636363636,160,53
speaker,Kamala Harris,AASIST-L,29,25,4,96.0,1.0,0.6,4,15
speaker,Martin Luther King,LFCC+LCNN,799,516,283,94.910222697017,0.8869257950530035,0.9806201550387597,251,506
speaker,Milton Friedman,LFCC+LCNN,589,289,300,93.54613610149943,0.9633333333333334,0.8442906574394463,289,244
speaker,Orson Welles,LFCC+LCNN,202,26,176,92.74475524475525,0.9545454545454546,0.8461538461538461,168,22
speaker,Lyndon Johnson,LFCC+LCNN,107,95,12,92.67543859649123,1.0,0.49473684210526314,12,47
speaker,Malcolm X,AASIST,176,130,46,92.50836120401338,0.5217391304347826,0.9615384615384616,24,125
speaker,Tucker Carlson,LFCC+LCNN,100,33,67,92.46947082767977,0.8805970149253731,0.9090909090909091,59,30
speaker,Queen Elizabeth II,LFCC+LCNN,464,105,359,90.50271919352699,0.9108635097493036,0.8857142857142857,327,93
speaker,Adam Driver,AASIST,217,80,137,89.89051094890512,0.7007299270072993,0.9625,96,77
speaker,Alec Guinness,LFCC+LCNN,3625,1907,1718,88.49548230189248,0.8218859138533178,0.9244887257472469,1412,1763
speaker,Barack Obama,LFCC+LCNN,3636,3302,334,88.34701886354487,0.9940119760479041,0.5239248940036342,332,1730
speaker,Mark Zuckerberg,LFCC+LCNN,582,321,261,87.98653632685215,0.5747126436781609,0.9906542056074766,150,318
speaker,Bob Ross,AASIST,108,60,48,86.25,0.7708333333333334,0.85,37,51
speaker,Ayn Rand,LFCC+LCNN,2493,1389,1104,86.0697991986728,0.9981884057971014,0.06911447084233262,1102,96
speaker,Bill Clinton,AASIST-L,1832,1129,703,85.97885564460549,0.705547652916074,0.9264836138175376,496,1046
speaker,Malcolm X,AASIST-L,176,130,46,85.85284280936455,0.2391304347826087,0.9846153846153847,11,128
speaker,Alan Watts,LFCC+LCNN,378,86,292,85.83147499203567,1.0,0.29069767441860467,292,25
speaker,The Notorious B.I.G.,LFCC+LCNN,329,14,315,85.55555555555556,0.780952380952381,0.8571428571428571,246,12
speaker,Bob Ross,AASIST-L,108,60,48,85.41666666666667,0.8958333333333334,0.7333333333333333,43,44
speaker,Ronald Reagan,LFCC+LCNN,1536,620,916,83.58642062262291,0.7914847161572053,0.9048387096774193,725,561
speaker,Adam Driver,AASIST-L,217,80,137,83.48083941605839,0.5912408759124088,0.9625,81,77
speaker,FDR,AASIST3,471,308,163,83.43857063182216,0.8711656441717791,0.7954545454545454,142,245
speaker,Alexandria Ocasio-Cortez,LFCC+LCNN,390,290,100,83.22413793103448,0.92,0.7413793103448276,92,215
speaker,Mr. Rogers,LFCC+LCNN,130,34,96,82.84313725490196,0.5729166666666666,0.9411764705882353,55,32
speaker,Jimmy Carter,LFCC+LCNN,27,16,11,81.53409090909092,0.45454545454545453,0.8125,5,13
speaker,Bernie Sanders,LFCC+LCNN,2877,1623,1254,79.38345906776688,0.36762360446570974,0.9439309919901417,461,1532
speaker,Ayn Rand,AASIST,2493,1389,1104,78.90030754061415,0.6068840579710145,0.8704103671706264,670,1209
speaker,Ayn Rand,AASIST-L,2493,1389,1104,76.73343741196356,0.4311594202898551,0.9128869690424766,476,1268
speaker,Bill Clinton,AASIST,1832,1129,703,76.41312003346408,0.5519203413940256,0.9052258635961028,388,1022
speaker,John Cleese,LFCC+LCNN,129,59,70,75.99273607748184,1.0,0.4745762711864407,70,28
speaker,Malcolm X,LFCC+LCNN,176,130,46,75.41806020066889,1.0,0.08461538461538462,46,11
speaker,George W. Bush,AASIST,230,55,175,74.12987012987014,0.9714285714285714,0.2727272727272727,170,15
speaker,Norm MacDonald,LFCC+LCNN,129,36,93,72.1326164874552,0.8387096774193549,0.5555555555555556,78,20
speaker,Louis C.K.,AASIST,66,9,57,71.05263157894737,0.7017543859649122,0.6666666666666666,40,6
speaker,Christopher Hitchens,LFCC+LCNN,1339,798,541,70.27052381415646,0.48613678373382624,0.8195488721804511,263,654
speaker,Bob Ross,AASIST3,108,60,48,69.375,1.0,0.23333333333333334,48,14
speaker,Orson Welles,AASIST3,202,26,176,68.99038461538461,0.9602272727272727,0.6153846153846154,169,16
speaker,Alec Guinness,AASIST3,3625,1907,1718,68.00507657286158,0.7904540162980209,0.5658101730466701,1358,1079
speaker,Billie Eilish,AASIST,14,9,5,67.77777777777779,0.8,0.3333333333333333,4,3
speaker,Boris Johnson,LFCC+LCNN,295,209,86,67.69222209858685,0.7441860465116279,0.5454545454545454,64,114
speaker,Richard Nixon,LFCC+LCNN,359,233,126,67.33599019006743,0.9126984126984127,0.02145922746781116,115,5
speaker,Scarlett Johansson,LFCC+LCNN,73,31,42,67.20430107526883,0.21428571428571427,0.9032258064516129,9,28
speaker,Nelson Mandela,LFCC+LCNN,381,97,284,65.9122259329171,0.6725352112676056,0.6391752577319587,191,62
speaker,Mitch Hedberg,LFCC+LCNN,31,3,28,65.47619047619048,0.07142857142857142,1.0,2,3
speaker,The Notorious B.I.G.,AASIST,329,14,315,64.99999999999999,0.2571428571428571,0.9285714285714286,81,13
speaker,Ronald Reagan,AASIST,1536,620,916,64.9235807860262,0.3231441048034934,0.8193548387096774,296,508
speaker,Donald Trump,LFCC+LCNN,3423,3268,155,64.55995577841828,0.6580645161290323,0.7998776009791921,102,2614
speaker,FDR,AASIST-L,471,308,163,64.35144609991235,0.20245398773006135,0.698051948051948,33,215
speaker,Louis C.K.,AASIST3,66,9,57,64.03508771929825,0.7368421052631579,0.5555555555555556,42,5
speaker,Jeff Goldblum,LFCC+LCNN,60,56,4,63.39285714285714,0.0,0.8928571428571429,0,50
speaker,Ronald Reagan,AASIST-L,1536,620,916,63.21770671925624,0.388646288209607,0.8258064516129032,356,512
speaker,Bill Burr,LFCC+LCNN,201,144,57,63.17616959064327,0.17543859649122806,0.9027777777777778,10,130
speaker,Jerry Seinfeld,LFCC+LCNN,51,8,43,62.645348837209305,0.0,0.875,0,7
speaker,Ronald Reagan,AASIST3,1536,620,916,62.29715452880688,0.13100436681222707,0.9338709677419355,120,579
speaker,Nelson Mandela,AASIST-L,381,97,284,62.25315812400174,0.323943661971831,0.9072164948453608,92,88
speaker,George Carlin,LFCC+LCNN,248,164,84,61.44018583042974,0.32142857142857145,0.8597560975609756,27,141
speaker,Winston Churchill,AASIST-L,882,625,257,61.024747081712064,0.7665369649805448,0.5632,197,352
speaker,Milton Friedman,AASIST-L,589,289,300,60.94982698961937,0.14,0.8166089965397924,42,236
speaker,Robert Kardashian,AASIST3,143,103,40,60.58252427184465,0.55,0.6407766990291263,22,66
speaker,Ayn Rand,AASIST3,2493,1389,1104,60.48191144708424,0.9248188405797102,0.16846652267818574,1021,234
speaker,Winston Churchill,AASIST,882,625,257,60.2356420233463,0.77431906614786,0.4736,199,296
speaker,FDR,AASIST,471,308,163,60.07589036730141,0.147239263803681,0.6785714285714286,24,209
speaker,Frank Sinatra,LFCC+LCNN,55,17,38,58.35913312693499,0.5789473684210527,0.6470588235294118,22,11
speaker,Alan Watts,AASIST-L,378,86,292,58.17935648295636,0.8801369863013698,0.11627906976744186,257,10
speaker,Harry Truman,LFCC+LCNN,63,47,16,57.91223404255319,1.0,0.2978723404255319,16,14
speaker,Arnold Schwarzenegger,LFCC+LCNN,351,243,108,57.3045267489712,0.3611111111111111,0.8683127572016461,39,211
speaker,Louis C.K.,LFCC+LCNN,66,9,57,57.01754385964912,0.22807017543859648,0.8888888888888888,13,8
speaker,Mark Zuckerberg,AASIST,582,321,261,56.857163318652205,0.14559386973180077,0.881619937694704,38,283
speaker,Louis C.K.,AASIST-L,66,9,57,56.72514619883041,0.7368421052631579,0.4444444444444444,42,4
speaker,Nelson Mandela,AASIST,381,97,284,56.69558588645274,0.4119718309859155,0.7835051546391752,117,76
speaker,JFK,AASIST-L,669,396,273,56.671106671106664,0.4358974358974359,0.6919191919191919,119,274
speaker,Lyndon Johnson,AASIST3,107,95,12,56.53508771929825,0.5,0.6736842105263158,6,64
speaker,Milton Friedman,AASIST,589,289,300,55.68800461361014,0.15,0.8546712802768166,45,247
speaker,Harry Truman,AASIST3,63,47,16,54.72074468085106,0.3125,0.8085106382978723,5,38
speaker,Bill Clinton,LFCC+LCNN,1832,1129,703,53.997797620472554,0.2460881934566145,0.7962798937112489,173,899
speaker,Mr. Rogers,AASIST3,130,34,96,52.51225490196079,0.6458333333333334,0.38235294117647056,62,13
speaker,JFK,AASIST,669,396,273,52.32683982683983,0.5384615384615384,0.4898989898989899,147,194
